epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,903.793,0.78956,0.3683,0.78547,0.89458,0.73649,0.79951,0.54076,0.8144,0.40027,0.78781,0.000742625,0.000742625,0.000742625
43,924.026,0.78751,0.37313,0.78137,0.92581,0.68709,0.79803,0.54563,0.77641,0.39413,0.78604,0.00073025,0.00073025,0.00073025
44,943.79,0.81101,0.38164,0.78416,0.86012,0.71483,0.79987,0.55894,0.75633,0.38087,0.78684,0.000717875,0.000717875,0.000717875
45,964.952,0.80608,0.38321,0.78261,0.887,0.7233,0.80082,0.55814,0.75755,0.40459,0.78589,0.0007055,0.0007055,0.0007055
46,986.294,0.79749,0.37537,0.7836,0.82487,0.71671,0.77291,0.50148,0.95245,0.44015,0.79657,0.000693125,0.000693125,0.000693125
47,1007.09,0.84739,0.39592,0.7863,0.93196,0.71682,0.81528,0.56241,0.80169,0.41039,0.7869,0.00068075,0.00068075,0.00068075
48,1027.33,0.78403,0.37166,0.78335,0.89759,0.76561,0.82316,0.56263,0.76379,0.39307,0.78866,0.000668375,0.000668375,0.000668375
49,1048.21,0.76382,0.36555,0.78288,0.83964,0.69388,0.76927,0.51936,0.77533,0.39978,0.78807,0.000656,0.000656,0.000656
50,1068.78,0.75946,0.36161,0.7812,0.86558,0.72798,0.81424,0.56109,0.75525,0.38937,0.78501,0.000643625,0.000643625,0.000643625
51,1089.15,0.77962,0.3706,0.78215,0.85459,0.73002,0.80015,0.54364,0.75493,0.40086,0.78487,0.00063125,0.00063125,0.00063125
52,1111.59,0.77416,0.36851,0.78308,0.9003,0.74311,0.80475,0.55707,0.75907,0.38819,0.7854,0.000618875,0.000618875,0.000618875
53,1131.46,0.75192,0.35865,0.78096,0.89804,0.75342,0.8146,0.54207,0.77423,0.38384,0.78897,0.0006065,0.0006065,0.0006065
54,1152.82,0.77139,0.37871,0.78134,0.86876,0.74146,0.79041,0.55439,0.75921,0.42535,0.78635,0.000594125,0.000594125,0.000594125
55,1173.46,0.75586,0.3644,0.78085,0.85716,0.73314,0.79404,0.54446,0.79571,0.41409,0.78833,0.00058175,0.00058175,0.00058175
56,1193.48,0.75866,0.36299,0.78275,0.85938,0.69029,0.79222,0.53334,0.79545,0.40784,0.78792,0.000569375,0.000569375,0.000569375
57,1213.91,0.76522,0.36518,0.7799,0.83863,0.7119,0.80895,0.5229,0.80431,0.39662,0.78721,0.000557,0.000557,0.000557
58,1234.05,0.74832,0.3609,0.78022,0.83003,0.69775,0.78478,0.53834,0.74785,0.39514,0.78656,0.000544625,0.000544625,0.000544625
59,1255.66,0.73383,0.35221,0.78018,0.85674,0.71372,0.80255,0.54888,0.7745,0.39057,0.7874,0.00053225,0.00053225,0.00053225
60,1277.48,0.73782,0.34616,0.77842,0.84697,0.72031,0.80387,0.56012,0.76904,0.4016,0.78906,0.000519875,0.000519875,0.000519875
61,1298.01,0.73667,0.34809,0.77735,0.82244,0.72697,0.80094,0.5674,0.78045,0.39393,0.78901,0.0005075,0.0005075,0.0005075
62,1320.72,0.73513,0.34312,0.77982,0.92201,0.72759,0.80911,0.5613,0.78006,0.404,0.7875,0.000495125,0.000495125,0.000495125
63,1341.42,0.70998,0.3374,0.77856,0.86685,0.74304,0.81393,0.56941,0.76899,0.38479,0.78751,0.00048275,0.00048275,0.00048275
64,1364.77,0.73263,0.34579,0.7786,0.78558,0.72804,0.77945,0.54807,0.75172,0.37437,0.7854,0.000470375,0.000470375,0.000470375
65,1385.24,0.73312,0.341,0.77994,0.88999,0.70968,0.79964,0.56136,0.76882,0.38029,0.78655,0.000458,0.000458,0.000458
